Sim 1

Light Normalized Radiosity: 91.40887%
Light Absorptance (heat generated by Stokes shift, Quantum Yield, non-fluorescent particles, and medium ): 8.17494%
Light Transmittance: 0.41619%
Stokes Shift Absorptance (converted to heat): 2.68229%
Quantum Yield Absorptance (converted to heat): 5.49253%
Total Fluorescent Absorptance (absorptance of photons by fluorescent particles): 21.30917%
Fluorescent Absorptance (converted to fluorescent emission): 13.36323%
Reflectance by Fluorescent Emission: 10.75672%
Non-Fluorescent Particles and Medium Absorptance (converted to heat): 0.00012%

Note: In the column headers below, the number in parentheses indicates the layer number for each attenuation coefficient (e.g., mu_s(1), mu_med(1), mu_a(1), mu_af(1) for layer 1)
Note: The units are based on micrometer
Wavelength	Normalized Radiosity	Absorptance	Transmittance	Stokes Shift Absorptance	Quantum Yield Absorptance	Total Fluorescent Absorptance	Reflectance (via fluorescent emission)	Fluorescent Absorptance	Non-Fluorescent Particles/Medium Absorptance	n_medium(1)	k_medium(1)	mu_a(non-fluorescent)(1)	mu_a(medium)(1)	mu_s(1)	g(1)	Thickness(1)	mu_a(fluorescent)1(1)	mu_a(fluorescent)2(1)
310.0	0.6335	0.1585	0.0	0.0966	0.068	0.3654	0.0	0.1579	0.0011	1.52412	1e-06	4.1e-05	1e-05	12.044892	0.83000367	500.0	0.000822	0.014569	
315.0	0.6243	0.1588	0.0	0.0929	0.0718	0.375	0.0	0.1642	0.0007	1.522519	0.0	2.7e-05	6e-06	11.991617	0.83325769	500.0	0.000846	0.015441	
320.0	0.621	0.1582	0.0	0.0951	0.0693	0.3784	0.0	0.17	0.0006	1.520989	0.0	1.5e-05	4e-06	12.04073	0.83819472	500.0	0.000795	0.016141	
325.0	0.6057	0.1625	0.0	0.0954	0.0741	0.3943	0.0	0.1787	0.0	1.51955	0.0	6e-06	2e-06	12.136923	0.84361041	500.0	0.000812	0.016665	
330.0	0.5982	0.1676	0.0	0.0973	0.0775	0.4018	0.0	0.1836	0.0	1.5182	0.0	2e-06	0.0	12.208154	0.84840156	500.0	0.000903	0.017451	
335.0	0.5957	0.1705	0.0	0.0943	0.0832	0.4043	0.0	0.1844	0.0	1.516918	0.0	0.0	0.0	12.193908	0.85193179	500.0	0.001022	0.018131	
340.0	0.5897	0.1681	0.0	0.0948	0.0794	0.4103	0.0	0.1932	0.0	1.51574	0.0	0.0	0.0	12.076409	0.85366111	500.0	0.001201	0.018903	
345.0	0.5718	0.1742	0.0	0.0987	0.0828	0.4282	0.0	0.2044	0.0	1.51457	0.0	0.0	0.0	11.876651	0.85388427	500.0	0.001472	0.01947	
350.0	0.5634	0.1702	0.0	0.0972	0.0805	0.4366	0.0	0.2141	0.0	1.5135	0.0	0.0	0.0	11.649843	0.85303277	500.0	0.001675	0.019951	
355.0	0.5678	0.1713	0.0	0.0974	0.0806	0.4322	0.0	0.2137	0.0	1.512496	0.0	0.0	0.0	11.441406	0.85169971	500.0	0.001638	0.020257	
360.0	0.5682	0.1635	0.0	0.0924	0.0776	0.4318	0.0	0.2191	0.0	1.51152	0.0	0.0	0.0	11.268785	0.85041864	500.0	0.001495	0.020471	
365.0	0.5666	0.1674	0.0	0.0912	0.0827	0.4334	0.0	0.2196	0.0	1.510581	0.0	0.0	0.0	11.135026	0.84944179	500.0	0.001222	0.020626	
370.0	0.5592	0.1701	0.0	0.0901	0.0861	0.4408	0.0	0.2255	0.0	1.509755	0.0	0.0	0.0	11.019562	0.84905949	500.0	0.000959	0.020742	
375.0	0.5636	0.1661	0.0	0.0862	0.0858	0.4364	0.0	0.2254	0.0	1.508901	0.0	0.0	0.0	10.908689	0.84920774	500.0	0.000878	0.02085	
380.0	0.5587	0.1677	0.0	0.0861	0.0873	0.4413	0.0	0.2309	0.0	1.508134	0.0	0.0	0.0	10.786857	0.84979094	500.0	0.000886	0.020933	
385.0	0.5591	0.1624	0.0	0.0836	0.0857	0.4409	0.0	0.235	0.0	1.50742	0.0	0.0	0.0	10.638317	0.85068957	500.0	0.000972	0.020977	
390.0	0.5428	0.1674	0.0	0.0846	0.0881	0.4572	0.0	0.2468	0.0	1.506703	0.0	0.0	0.0	10.464668	0.85159775	500.0	0.001021	0.021022	
395.0	0.5487	0.1672	0.0	0.081	0.0926	0.4513	0.0	0.2434	0.0	1.50605	0.0	0.0	0.0	10.266987	0.85234258	500.0	0.001081	0.021166	
400.0	0.5475	0.1638	0.0	0.0803	0.089	0.4525	0.0	0.2495	0.0	1.505408	0.0	0.0	0.0	10.052016	0.85278838	500.0	0.001164	0.021287	
405.0	0.5387	0.163	0.0	0.079	0.0899	0.4613	0.0	0.2581	0.0	1.504801	0.0	0.0	0.0	9.8347	0.85280727	500.0	0.0012	0.021314	
410.0	0.5315	0.1659	0.0	0.0778	0.0933	0.4685	0.0	0.2638	0.0	1.504205	0.0	0.0	0.0	9.623598	0.8523918	500.0	0.001152	0.021274	
415.0	0.5277	0.1627	0.0	0.0757	0.0923	0.4723	0.0	0.2706	0.0	1.503616	0.0	0.0	0.0	9.422463	0.85159167	500.0	0.001153	0.021381	
420.0	0.5302	0.1583	0.0	0.0745	0.0895	0.4698	0.0	0.274	0.0	1.50309	0.0	0.0	0.0	9.236895	0.85045713	500.0	0.00121	0.02146	
425.0	0.53	0.16	0.0	0.071	0.0937	0.4701	0.0	0.2743	0.0	1.502587	0.0	0.0	0.0	9.066278	0.84907837	500.0	0.001173	0.021244	
430.0	0.5301	0.1547	0.0	0.0693	0.0899	0.4699	0.0	0.2804	0.0	1.502113	0.0	0.0	0.0	8.905333	0.84756752	500.0	0.001152	0.02098	
435.0	0.5321	0.1554	0.0	0.0668	0.0931	0.4679	0.0	0.2803	0.0	1.501656	0.0	0.0	0.0	8.753914	0.84596003	500.0	0.00113	0.020998	
440.0	0.5277	0.1534	0.0	0.0654	0.092	0.4724	0.0	0.2872	0.0	1.501219	0.0	0.0	0.0	8.607686	0.84431769	500.0	0.001216	0.021237	
445.0	0.5221	0.1503	0.0	0.0632	0.0911	0.4779	0.0	0.2956	0.0	1.500807	0.0	0.0	0.0	8.460539	0.84270859	500.0	0.001316	0.021797	
450.0	0.5199	0.1495	0.0	0.0635	0.09	0.4801	0.0	0.301	0.0	1.500407	0.0	0.0	0.0	8.312414	0.8411377	500.0	0.001314	0.022101	
455.0	0.5224	0.1425	0.0	0.0602	0.0861	0.4776	0.0	0.3058	0.0	1.500041	0.0	0.0	0.0	8.163419	0.83958566	500.0	0.001507	0.021629	
460.0	0.519	0.142	0.0	0.0574	0.088	0.481	0.0	0.3107	0.0	1.499675	0.0	0.0	0.0	8.009756	0.83806085	500.0	0.001653	0.020772	
465.0	0.521	0.1427	0.0	0.0557	0.0906	0.479	0.0	0.31	0.0	1.499309	0.0	0.0	0.0	7.850105	0.83653089	500.0	0.001768	0.020886	
470.0	0.5165	0.1384	0.0	0.0537	0.088	0.4835	0.0	0.3193	0.0	1.498943	0.0	0.0	0.0	7.691118	0.83494083	500.0	0.002004	0.021182	
475.0	0.5197	0.131	0.0	0.0524	0.0817	0.4803	0.0	0.3247	0.0	1.498618	0.0	0.0	0.0	7.529707	0.83333034	500.0	0.002094	0.020652	
