Sim 3

Light Normalized Radiosity: 88.45582%
Light Absorptance (heat generated by Stokes shift, Quantum Yield, non-fluorescent particles, and medium ): 11.21764%
Light Transmittance: 0.32653%
Stokes Shift Absorptance (converted to heat): 4.08935%
Quantum Yield Absorptance (converted to heat): 7.12826%
Total Fluorescent Absorptance (absorptance of photons by fluorescent particles): 34.88426%
Fluorescent Absorptance (converted to fluorescent emission): 24.403%
Reflectance by Fluorescent Emission: 18.8249%
Non-Fluorescent Particles and Medium Absorptance (converted to heat): 4e-05%

Note: In the column headers below, the number in parentheses indicates the layer number for each attenuation coefficient (e.g., mu_s(1), mu_med(1), mu_a(1), mu_af(1) for layer 1)
Note: The units are based on micrometer
Wavelength	Normalized Radiosity	Absorptance	Transmittance	Stokes Shift Absorptance	Quantum Yield Absorptance	Total Fluorescent Absorptance	Reflectance (via fluorescent emission)	Fluorescent Absorptance	Non-Fluorescent Particles/Medium Absorptance	n_medium(1)	k_medium(1)	mu_a(non-fluorescent)(1)	mu_a(medium)(1)	mu_s(1)	g(1)	Thickness(1)	mu_a(fluorescent)1(1)	mu_a(fluorescent)2(1)
310.0	0.5334	0.1304	0.0	0.0858	0.0506	0.4666	0.0	0.2211	0.0	1.52412	1e-06	4.3e-05	5e-06	12.8681	0.83158058	500.0	0.017276	0.015318	
315.0	0.5289	0.1342	0.0	0.086	0.054	0.4711	0.0	0.2254	0.0	1.522519	0.0	2.8e-05	3e-06	12.814497	0.83463731	500.0	0.017783	0.016235	
320.0	0.5327	0.1303	0.0	0.0809	0.0553	0.4671	0.0	0.226	0.0002	1.520989	0.0	1.6e-05	2e-06	12.862002	0.83956208	500.0	0.016707	0.016971	
325.0	0.5094	0.1381	0.0	0.0825	0.0604	0.4906	0.0	0.24	0.0	1.51955	0.0	7e-06	1e-06	12.961775	0.84488544	500.0	0.017072	0.017521	
330.0	0.508	0.1348	0.0	0.0823	0.0577	0.492	0.0	0.2461	0.0001	1.5182	0.0	2e-06	0.0	13.034205	0.84944624	500.0	0.018987	0.018348	
335.0	0.4972	0.1371	0.0	0.0839	0.0598	0.5027	0.0	0.2548	0.0	1.516918	0.0	0.0	0.0	13.011029	0.85284468	500.0	0.021499	0.019062	
340.0	0.472	0.1408	0.0	0.0909	0.0561	0.528	0.0	0.2751	0.0	1.51574	0.0	0.0	0.0	12.87782	0.85458174	500.0	0.025247	0.019874	
345.0	0.4481	0.1417	0.0	0.0913	0.0563	0.5518	0.0	0.2937	0.0	1.51457	0.0	0.0	0.0	12.658476	0.85482509	500.0	0.030959	0.02047	
350.0	0.4323	0.1445	0.0	0.097	0.0535	0.5677	0.0	0.3087	0.0	1.5135	0.0	0.0	0.0	12.413389	0.85397852	500.0	0.035231	0.020976	
355.0	0.4321	0.148	0.0	0.0953	0.0584	0.568	0.0	0.3103	0.0	1.512496	0.0	0.0	0.0	12.193181	0.85263294	500.0	0.034443	0.021298	
360.0	0.4357	0.1399	0.0	0.0893	0.0568	0.5643	0.0	0.3138	0.0	1.51152	0.0	0.0	0.0	12.013246	0.85133809	500.0	0.031428	0.021523	
