Sim 2

Light Normalized Radiosity: 91.86454%
Light Absorptance (heat generated by Stokes shift, Quantum Yield, non-fluorescent particles, and medium ): 6.93569%
Light Transmittance: 1.19977%
Stokes Shift Absorptance (converted to heat): 0.58305%
Quantum Yield Absorptance (converted to heat): 0.89127%
Total Fluorescent Absorptance (absorptance of photons by fluorescent particles): 4.45568%
Fluorescent Absorptance (converted to fluorescent emission): 2.98163%
Reflectance by Fluorescent Emission: 2.89266%
Non-Fluorescent Particles and Medium Absorptance (converted to heat): 5.46199%

Note: In the column headers below, the number in parentheses indicates the layer number for each attenuation coefficient (e.g., mu_s(1), mu_med(1), mu_a(1), mu_af(1) for layer 1)
Note: The units are based on micrometer
Wavelength	Normalized Radiosity	Absorptance	Transmittance	Stokes Shift Absorptance	Quantum Yield Absorptance	Total Fluorescent Absorptance	Reflectance (via fluorescent emission)	Fluorescent Absorptance	Non-Fluorescent Particles/Medium Absorptance	n_medium(1)	k_medium(1)	mu_a(non-fluorescent)(1)	mu_a(medium)(1)	mu_s(1)	g(1)	Thickness(1)	mu_a(fluorescent)1(1)
301.0	0.0468	0.9417	0.0	0.0081	0.0051	0.0249	0.0	0.0117	0.9286	1.527336	1e-06	0.574028	3.2e-05	0.653802	0.82749343	500.0	0.015453	
303.0	0.0477	0.9389	0.0	0.0092	0.0072	0.0298	0.0	0.0134	0.9226	1.526609	1e-06	0.576022	2.9e-05	0.648823	0.82755799	500.0	0.018619	
305.0	0.0464	0.9394	0.0	0.0099	0.0067	0.031	0.0	0.0144	0.9229	1.525881	1e-06	0.578011	2.6e-05	0.647368	0.82816922	500.0	0.018801	
307.0	0.0461	0.9402	0.0	0.0094	0.0055	0.0285	0.0	0.0137	0.9255	1.525152	1e-06	0.580003	2.4e-05	0.646056	0.82876085	500.0	0.018858	
309.0	0.0475	0.938	0.0	0.0096	0.0067	0.031	0.0	0.0147	0.9218	1.524458	1e-06	0.581999	2.1e-05	0.644661	0.82930003	500.0	0.018944	
311.0	0.0467	0.9388	0.0	0.0096	0.0063	0.0307	0.0	0.0148	0.923	1.523788	1e-06	0.583989	1.8e-05	0.643198	0.82977511	500.0	0.019023	
313.0	0.0472	0.9377	0.0	0.0095	0.0062	0.0308	0.0	0.0151	0.9221	1.523144	0.0	0.585982	1.6e-05	0.641605	0.83016527	500.0	0.019102	
315.0	0.0467	0.9384	0.0	0.0094	0.0069	0.0313	0.0	0.015	0.9222	1.522519	0.0	0.587986	1.3e-05	0.639823	0.83043743	500.0	0.019173	
317.0	0.0463	0.9382	0.0	0.0095	0.0058	0.0309	0.0	0.0155	0.923	1.521895	0.0	0.58999	1e-05	0.637797	0.83053606	500.0	0.019239	
319.0	0.0452	0.9406	0.0	0.0087	0.0068	0.0299	0.0	0.0143	0.9252	1.521272	0.0	0.591974	8e-06	0.635498	0.83038686	500.0	0.019293	
321.0	0.0459	0.9379	0.0	0.0097	0.0054	0.0314	0.0	0.0163	0.923	1.520694	0.0	0.593897	6e-06	0.632944	0.82990596	500.0	0.019334	
323.0	0.0455	0.9401	0.0	0.0086	0.0065	0.0298	0.0	0.0146	0.9251	1.520123	0.0	0.595646	4e-06	0.630293	0.82895926	500.0	0.019363	
